,城,省份,比例,具体人数,
41,西安,陕西省,0.19,29,20200126
42,三亚,海南省,0.19,29,20200126
43,合肥,安徽省,0.18,28,20200126
44,益阳,湖南省,0.17,26,20200126
45,徐州,江苏省,0.17,26,20200126
46,惠州,广东省,0.16,25,20200126
47,南京,江苏省,0.15,23,20200126
48,宜春,江西省,0.15,23,20200126
49,福州,福建省,0.14,22,20200126
50,中山,广东省,0.13,20,20200126
51,泉州,福建省,0.12,19,20200126
52,宿州,安徽省,0.12,19,20200126
53,芜湖,安徽省,0.12,19,20200126
54,临沂,山东省,0.12,19,20200126
55,漯河,河南省,0.12,19,20200126
56,上饶,江西省,0.11,17,20200126
57,许昌,河南省,0.11,17,20200126
58,开封,河南省,0.11,17,20200126
59,珠海,广东省,0.11,17,20200126
60,厦门,福建省,0.1,15,20200126
61,衡阳,湖南省,0.1,15,20200126
62,温州,浙江省,0.1,15,20200126
63,江门,广东省,0.1,15,20200126
64,宁波,浙江省,0.1,15,20200126
65,盐城,江苏省,0.1,15,20200126
66,赣州,江西省,0.1,15,20200126
67,抚州,江西省,0.1,15,20200126
68,南充,四川省,0.09,14,20200126
69,新乡,河南省,0.09,14,20200126
70,吉安,江西省,0.09,14,20200126
71,达州,四川省,0.09,14,20200126
72,北海,广西壮族自治区,0.09,14,20200126
73,无锡,江苏省,0.09,14,20200126
74,娄底,湖南省,0.09,14,20200126
75,平顶山,河南省,0.08,12,20200126
76,太原,山西省,0.08,12,20200126
77,邵阳,湖南省,0.08,12,20200126
78,淮安,江苏省,0.08,12,20200126
79,菏泽,山东省,0.08,12,20200126
80,海口,海南省,0.08,12,20200126
81,咸阳,陕西省,0.08,12,20200126
82,永州,湖南省,0.07,11,20200126
83,神农架林区,湖北省,0.07,11,20200126
84,六安,安徽省,0.07,11,20200126
85,沈阳,辽宁省,0.07,11,20200126
86,滁州,安徽省,0.07,11,20200126
87,柳州,广西壮族自治区,0.06,9,20200126
88,南通,江苏省,0.06,9,20200126
89,泰安,山东省,0.06,9,20200126
90,湘西自治州,湖南省,0.06,9,20200126
91,贵阳,贵州省,0.06,9,20200126
92,怀化,湖南省,0.06,9,20200126
93,安阳,河南省,0.06,9,20200126
94,洛阳,河南省,0.06,9,20200126
95,清远,广东省,0.06,9,20200126
96,长春,吉林省,0.06,9,20200126
97,兰州,甘肃省,0.06,9,20200126
98,焦作,河南省,0.06,9,20200126
99,石家庄,河北省,0.06,9,20200126
0,黄冈,湖北省,18.07,1820,20200127
1,孝感,湖北省,16.77,1689,20200127
2,咸宁,湖北省,6.52,657,20200127
3,荆州,湖北省,6.5,655,20200127
4,鄂州,湖北省,4.6,463,20200127
5,宜昌,湖北省,4.49,452,20200127
6,恩施州,湖北省,4.43,446,20200127
7,襄阳,湖北省,3.45,347,20200127
8,十堰,湖北省,3.17,319,20200127
9,荆门,湖北省,2.98,300,20200127
10,仙桃,湖北省,2.98,300,20200127
11,黄石,湖北省,2.92,294,20200127
12,随州,湖北省,2.38,240,20200127
13,天门,湖北省,2.08,209,20200127
14,深圳,广东省,0.95,96,20200127
15,潜江,湖北省,0.95,96,20200127
16,广州,广东省,0.66,66,20200127
17,信阳,河南省,0.64,64,20200127
18,重庆,重庆,0.54,54,20200127
19,上海,上海,0.54,54,20200127
20,岳阳,湖南省,0.54,54,20200127
21,长沙,湖南省,0.5,50,20200127
22,南阳,河南省,0.45,45,20200127
23,郑州,河南省,0.39,39,20200127
24,九江,江西省,0.35,35,20200127
25,阜阳,安徽省,0.34,34,20200127
26,南昌,江西省,0.32,32,20200127
27,南京,江苏省,0.3,30,20200127
28,东莞,广东省,0.29,29,20200127
29,驻马店,河南省,0.28,28,20200127
30,北京,北京,0.27,27,20200127
31,商丘,河南省,0.27,27,20200127
32,安庆,安徽省,0.24,24,20200127
33,合肥,安徽省,0.24,24,20200127
34,苏州,江苏省,0.23,23,20200127
35,周口,河南省,0.21,21,20200127
36,株洲,湖南省,0.2,20,20200127
37,台州,浙江省,0.18,18,20200127
38,昆明,云南省,0.17,17,20200127
39,成都,四川省,0.16,16,20200127
40,惠州,广东省,0.16,16,20200127
41,厦门,福建省,0.15,15,20200127
42,佛山,广东省,0.14,14,20200127
43,六安,安徽省,0.13,13,20200127
44,杭州,浙江省,0.13,13,20200127
45,常德,湖南省,0.12,12,20200127
46,芜湖,安徽省,0.12,12,20200127
47,益阳,湖南省,0.12,12,20200127
48,福州,福建省,0.11,11,20200127
49,衡阳,湖南省,0.1,10,20200127
50,邵阳,湖南省,0.1,10,20200127
51,徐州,江苏省,0.1,10,20200127
52,珠海,广东省,0.09,9,20200127
53,漯河,河南省,0.09,9,20200127
54,临沂,山东省,0.09,9,20200127
55,神农架林区,湖北省,0.09,9,20200127
56,海口,海南省,0.09,9,20200127
57,抚州,江西省,0.08,8,20200127
58,池州,安徽省,0.08,8,20200127
59,咸阳,陕西省,0.08,8,20200127
60,玉林,广西壮族自治区,0.07,7,20200127
61,许昌,河南省,0.07,7,20200127
62,宜春,江西省,0.07,7,20200127
63,柳州,广西壮族自治区,0.07,7,20200127
64,泉州,福建省,0.07,7,20200127
65,三亚,海南省,0.07,7,20200127
66,西安,陕西省,0.07,7,20200127
67,宿州,安徽省,0.06,6,20200127
68,达州,四川省,0.06,6,20200127
69,温州,浙江省,0.06,6,20200127
70,北海,广西壮族自治区,0.06,6,20200127
71,南通,江苏省,0.06,6,20200127
72,邯郸,河北省,0.06,6,20200127
73,菏泽,山东省,0.06,6,20200127
74,青岛,山东省,0.06,6,20200127
75,洛阳,河南省,0.06,6,20200127
76,枣庄,山东省,0.06,6,20200127
77,安康,陕西省,0.06,6,20200127
78,永州,湖南省,0.06,6,20200127
79,保定,河北省,0.06,6,20200127
80,天津,天津,0.06,6,20200127
81,贵阳,贵州省,0.06,6,20200127
82,新乡,河南省,0.05,5,20200127
83,上饶,江西省,0.05,5,20200127
84,马鞍山,安徽省,0.05,5,20200127
85,平顶山,河南省,0.05,5,20200127
86,泰州,江苏省,0.05,5,20200127
87,赤峰,内蒙古自治区,0.05,5,20200127
88,宁波,浙江省,0.05,5,20200127
89,滁州,安徽省,0.05,5,20200127
90,安阳,河南省,0.05,5,20200127
91,南充,四川省,0.04,4,20200127
92,郴州,湖南省,0.04,4,20200127
93,毕节,贵州省,0.04,4,20200127
94,济南,山东省,0.04,4,20200127
95,长春,吉林省,0.04,4,20200127
96,广安,四川省,0.04,4,20200127
97,晋中,山西省,0.04,4,20200127
98,大连,辽宁省,0.04,4,20200127
99,遵义,贵州省,0.04,4,20200127
0,黄冈,湖北省,20.63,1546,20200128
1,孝感,湖北省,16.34,1225,20200128
2,荆州,湖北省,7.35,551,20200128
3,咸宁,湖北省,6.72,504,20200128
4,恩施州,湖北省,5.48,411,20200128
5,宜昌,湖北省,5.19,389,20200128
6,鄂州,湖北省,5.03,377,20200128
7,襄阳,湖北省,3.71,278,20200128
8,十堰,湖北省,3.42,256,20200128
9,黄石,湖北省,3.06,229,20200128
10,荆门,湖北省,2.89,217,20200128
11,仙桃,湖北省,2.77,208,20200128
12,随州,湖北省,2,150,20200128
13,天门,湖北省,1.82,136,20200128
14,潜江,湖北省,0.89,67,20200128
15,长沙,湖南省,0.6,45,20200128
16,信阳,河南省,0.56,42,20200128
17,深圳,广东省,0.52,39,20200128
18,上海,上海,0.49,37,20200128
19,广州,广东省,0.46,34,20200128
20,郑州,河南省,0.45,34,20200128
21,南阳,河南省,0.41,31,20200128
22,重庆,重庆,0.39,29,20200128
23,岳阳,湖南省,0.38,28,20200128
24,九江,江西省,0.33,25,20200128
25,株洲,湖南省,0.25,19,20200128
26,阜阳,安徽省,0.25,19,20200128
27,东莞,广东省,0.24,18,20200128
28,南昌,江西省,0.22,16,20200128
29,北京,北京,0.21,16,20200128
30,南京,江苏省,0.2,15,20200128
31,合肥,安徽省,0.15,11,20200128
32,温州,浙江省,0.14,10,20200128
33,成都,四川省,0.13,10,20200128
34,芜湖,安徽省,0.13,10,20200128
35,苏州,江苏省,0.12,9,20200128
36,驻马店,河南省,0.11,8,20200128
37,昆明,云南省,0.11,8,20200128
38,安庆,安徽省,0.11,8,20200128
39,周口,河南省,0.11,8,20200128
40,商丘,河南省,0.11,8,20200128
41,佛山,广东省,0.1,7,20200128
42,西安,陕西省,0.1,7,20200128
43,杭州,浙江省,0.1,7,20200128
44,神农架林区,湖北省,0.09,7,20200128
45,邵阳,湖南省,0.09,7,20200128
46,汉中,陕西省,0.09,7,20200128
47,厦门,福建省,0.08,6,20200128
48,许昌,河南省,0.08,6,20200128
49,漯河,河南省,0.08,6,20200128
50,常德,湖南省,0.07,5,20200128
51,潍坊,山东省,0.07,5,20200128
52,天津,天津,0.07,5,20200128
53,菏泽,山东省,0.07,5,20200128
54,海口,海南省,0.07,5,20200128
55,达州,四川省,0.06,4,20200128
56,吉安,江西省,0.06,4,20200128
57,珠海,广东省,0.06,4,20200128
58,湘潭,湖南省,0.06,4,20200128
59,惠州,广东省,0.06,4,20200128
60,泉州,福建省,0.06,4,20200128
61,宁波,浙江省,0.06,4,20200128
62,沈阳,辽宁省,0.06,4,20200128
63,咸阳,陕西省,0.06,4,20200128
64,衡阳,湖南省,0.05,4,20200128
65,扬州,江苏省,0.05,4,20200128
66,德州,山东省,0.05,4,20200128
67,南宁,广西壮族自治区,0.05,4,20200128
68,铜陵,安徽省,0.05,4,20200128
69,开封,河南省,0.05,4,20200128
70,益阳,湖南省,0.04,3,20200128
71,三门峡,河南省,0.04,3,20200128
72,上饶,江西省,0.04,3,20200128
73,长春,吉林省,0.04,3,20200128
74,邢台,河北省,0.04,3,20200128
75,焦作,河南省,0.04,3,20200128
76,赣州,江西省,0.04,3,20200128
77,抚州,江西省,0.04,3,20200128
78,南通,江苏省,0.04,3,20200128
79,中山,广东省,0.04,3,20200128
80,邯郸,河北省,0.04,3,20200128
81,六安,安徽省,0.04,3,20200128
82,滨州,山东省,0.04,3,20200128
83,天水,甘肃省,0.04,3,20200128
84,金华,浙江省,0.04,3,20200128
85,三亚,海南省,0.04,3,20200128
86,沧州,河北省,0.04,3,20200128
87,青岛,山东省,0.04,3,20200128
88,澄迈,海南省,0.04,3,20200128
89,嘉兴,浙江省,0.04,3,20200128
90,石家庄,河北省,0.04,3,20200128
91,景德镇,江西省,0.03,2,20200128
92,牡丹江,黑龙江省,0.03,2,20200128
93,哈尔滨,黑龙江省,0.03,2,20200128
94,台州,浙江省,0.03,2,20200128
95,永州,湖南省,0.03,2,20200128
96,临沂,山东省,0.03,2,20200128
97,平顶山,河南省,0.03,2,20200128
98,盐城,江苏省,0.03,2,20200128
99,唐山,河北省,0.03,2,20200128
0,黄冈,湖北省,21.65,1318,20200129
1,孝感,湖北省,17,1035,20200129
2,咸宁,湖北省,7.62,464,20200129
3,荆州,湖北省,7.11,433,20200129
4,恩施州,湖北省,6.42,391,20200129
5,宜昌,湖北省,5.73,349,20200129
6,鄂州,湖北省,5.27,321,20200129
7,十堰,湖北省,3.56,217,20200129
8,襄阳,湖北省,3.33,203,20200129
9,黄石,湖北省,3.2,195,20200129
10,荆门,湖北省,2.74,167,20200129
11,仙桃,湖北省,2.64,161,20200129
12,天门,湖北省,2.17,132,20200129
13,随州,湖北省,1.57,96,20200129
14,潜江,湖北省,0.86,52,20200129
15,深圳,广东省,0.55,33,20200129
16,郑州,河南省,0.55,33,20200129
17,信阳,河南省,0.42,26,20200129
18,长沙,湖南省,0.4,24,20200129
19,南阳,河南省,0.35,21,20200129
20,南京,江苏省,0.34,21,20200129
21,岳阳,湖南省,0.33,20,20200129
22,重庆,重庆,0.32,19,20200129
23,南昌,江西省,0.28,17,20200129
24,九江,江西省,0.28,17,20200129
25,东莞,广东省,0.26,16,20200129
26,株洲,湖南省,0.24,15,20200129
27,广州,广东省,0.23,14,20200129
28,上海,上海,0.19,12,20200129
29,北京,北京,0.13,8,20200129
30,阜阳,安徽省,0.13,8,20200129
31,芜湖,安徽省,0.12,7,20200129
32,神农架林区,湖北省,0.12,7,20200129
33,潍坊,山东省,0.12,7,20200129
34,苏州,江苏省,0.09,5,20200129
35,昆明,云南省,0.08,5,20200129
36,合肥,安徽省,0.08,5,20200129
37,台州,浙江省,0.07,4,20200129
38,许昌,河南省,0.07,4,20200129
39,宜春,江西省,0.07,4,20200129
40,洛阳,河南省,0.06,4,20200129
41,常德,湖南省,0.06,4,20200129
42,驻马店,河南省,0.06,4,20200129
43,佛山,广东省,0.06,4,20200129
44,池州,安徽省,0.06,4,20200129
45,西安,陕西省,0.06,4,20200129
46,马鞍山,安徽省,0.04,2,20200129
47,安庆,安徽省,0.04,2,20200129
48,无锡,江苏省,0.04,2,20200129
49,淮安,江苏省,0.04,2,20200129
50,徐州,江苏省,0.04,2,20200129
51,宁波,浙江省,0.04,2,20200129
52,怀化,湖南省,0.04,2,20200129
53,成都,四川省,0.03,2,20200129
54,厦门,福建省,0.03,2,20200129
55,广安,四川省,0.03,2,20200129
56,朔州,山西省,0.03,2,20200129
57,盐城,江苏省,0.03,2,20200129
58,宣城,安徽省,0.03,2,20200129
59,惠州,广东省,0.03,2,20200129
60,周口,河南省,0.03,2,20200129
61,泉州,福建省,0.03,2,20200129
62,三亚,海南省,0.03,2,20200129
63,漯河,河南省,0.03,2,20200129
64,沈阳,辽宁省,0.03,2,20200129
65,青岛,山东省,0.03,2,20200129
66,石家庄,河北省,0.03,2,20200129
67,安阳,河南省,0.03,2,20200129
68,福州,福建省,0.03,2,20200129
69,杭州,浙江省,0.03,2,20200129
70,娄底,湖南省,0.03,2,20200129
71,安康,陕西省,0.02,1,20200129
72,长春,吉林省,0.02,1,20200129
73,永州,湖南省,0.02,1,20200129
74,温州,浙江省,0.02,1,20200129
75,临沂,山东省,0.02,1,20200129
76,内江,四川省,0.02,1,20200129
77,茂名,广东省,0.02,1,20200129
78,绍兴,浙江省,0.02,1,20200129
79,衢州,浙江省,0.02,1,20200129
80,镇江,江苏省,0.02,1,20200129
81,濮阳,河南省,0.02,1,20200129
82,邵阳,湖南省,0.02,1,20200129
83,廊坊,河北省,0.02,1,20200129
84,珠海,广东省,0.02,1,20200129
85,绥化,黑龙江省,0.02,1,20200129
86,太原,山西省,0.02,1,20200129
87,铜陵,安徽省,0.02,1,20200129
88,六安,安徽省,0.02,1,20200129
89,济宁,山东省,0.02,1,20200129
90,滨州,山东省,0.02,1,20200129
91,汕尾,广东省,0.02,1,20200129
92,张家口,河北省,0.02,1,20200129
93,金华,浙江省,0.02,1,20200129
94,陇南,甘肃省,0.02,1,20200129
95,沧州,河北省,0.02,1,20200129
96,自贡,四川省,0.02,1,20200129
97,晋城,山西省,0.02,1,20200129
98,嘉兴,浙江省,0.02,1,20200129
99,贵阳,贵州省,0.02,1,20200129
0,黄冈,湖北省,22.7,1276,20200130
1,孝感,湖北省,16.36,920,20200130
2,咸宁,湖北省,7.57,425,20200130
3,荆州,湖北省,7.19,404,20200130
4,恩施州,湖北省,6.58,370,20200130
5,宜昌,湖北省,5.65,318,20200130
6,鄂州,湖北省,5.54,311,20200130
7,襄阳,湖北省,3.68,207,20200130
8,十堰,湖北省,3.62,203,20200130
9,荆门,湖北省,3,169,20200130
10,仙桃,湖北省,2.89,162,20200130
11,黄石,湖北省,2.87,161,20200130
12,天门,湖北省,1.9,107,20200130
13,随州,湖北省,1.38,78,20200130
14,潜江,湖北省,1.01,57,20200130
15,长沙,湖南省,0.38,21,20200130
16,株洲,湖南省,0.35,20,20200130
17,岳阳,湖南省,0.35,20,20200130
18,信阳,河南省,0.31,17,20200130
19,南阳,河南省,0.3,17,20200130
20,南昌,江西省,0.29,16,20200130
21,九江,江西省,0.27,15,20200130
22,广州,广东省,0.26,15,20200130
23,重庆,重庆,0.23,13,20200130
24,郑州,河南省,0.23,13,20200130
25,深圳,广东省,0.19,11,20200130
26,南京,江苏省,0.15,8,20200130
27,苏州,江苏省,0.14,8,20200130
28,西安,陕西省,0.14,8,20200130
29,成都,四川省,0.13,7,20200130
30,东莞,广东省,0.13,7,20200130
31,芜湖,安徽省,0.11,6,20200130
32,盐城,江苏省,0.11,6,20200130
33,镇江,江苏省,0.11,6,20200130
34,惠州,广东省,0.11,6,20200130
35,阜阳,安徽省,0.11,6,20200130
36,驻马店,河南省,0.1,6,20200130
37,温州,浙江省,0.09,5,20200130
38,安庆,安徽省,0.09,5,20200130
39,上海,上海,0.09,5,20200130
40,北京,北京,0.07,4,20200130
41,漯河,河南省,0.07,4,20200130
42,石家庄,河北省,0.07,4,20200130
43,衡阳,湖南省,0.06,3,20200130
44,神农架林区,湖北省,0.06,3,20200130
45,邵阳,湖南省,0.06,3,20200130
46,合肥,安徽省,0.06,3,20200130
47,平顶山,河南省,0.05,3,20200130
48,许昌,河南省,0.05,3,20200130
49,湘西自治州,湖南省,0.05,3,20200130
50,池州,安徽省,0.05,3,20200130
51,天津,天津,0.05,3,20200130
52,沈阳,辽宁省,0.05,3,20200130
53,杭州,浙江省,0.05,3,20200130
54,济南,山东省,0.03,2,20200130
55,宜宾,四川省,0.03,2,20200130
56,扬州,江苏省,0.03,2,20200130
57,宜春,江西省,0.03,2,20200130
58,南通,江苏省,0.03,2,20200130
59,漳州,福建省,0.03,2,20200130
60,青岛,山东省,0.03,2,20200130
61,嘉兴,浙江省,0.03,2,20200130
62,铜仁,贵州省,0.03,2,20200130
63,怀化,湖南省,0.03,2,20200130
64,常州,江苏省,0.03,2,20200130
65,常德,湖南省,0.02,1,20200130
66,呼和浩特,内蒙古自治区,0.02,1,20200130
67,南平,福建省,0.02,1,20200130
68,宿州,安徽省,0.02,1,20200130
69,台州,浙江省,0.02,1,20200130
70,新余,江西省,0.02,1,20200130
71,辽阳,辽宁省,0.02,1,20200130
72,永州,湖南省,0.02,1,20200130
73,兰州,甘肃省,0.02,1,20200130
74,茂名,广东省,0.02,1,20200130
75,绍兴,浙江省,0.02,1,20200130
76,衡水,河北省,0.02,1,20200130
77,防城港,广西壮族自治区,0.02,1,20200130
78,衢州,浙江省,0.02,1,20200130
79,赣州,江西省,0.02,1,20200130
80,锡林郭勒盟,内蒙古自治区,0.02,1,20200130
81,廊坊,河北省,0.02,1,20200130
82,保定,河北省,0.02,1,20200130
83,无锡,江苏省,0.02,1,20200130
84,珠海,广东省,0.02,1,20200130
85,潍坊,山东省,0.02,1,20200130
86,金华,浙江省,0.02,1,20200130
87,贵阳,贵州省,0.02,1,20200130
88,日喀则,西藏自治区,0.02,1,20200130
89,汉中,陕西省,0.02,1,20200130
90,商丘,河南省,0.02,1,20200130
91,安阳,河南省,0.02,1,20200130
92,福州,福建省,0.02,1,20200130
93,洛阳,河南省,0.01,1,20200130
94,景德镇,江西省,0.01,1,20200130
95,牡丹江,黑龙江省,0.01,1,20200130
96,益阳,湖南省,0.01,1,20200130
97,三门峡,河南省,0.01,1,20200130
98,连云港,江苏省,0.01,1,20200130
99,安康,陕西省,0.01,1,20200130
0,黄冈,湖北省,22.48,1264,20200131
1,孝感,湖北省,16.55,930,20200131
2,咸宁,湖北省,7.39,415,20200131
3,荆州,湖北省,6.54,368,20200131
4,恩施州,湖北省,6.43,361,20200131
5,宜昌,湖北省,6,337,20200131
6,鄂州,湖北省,5.89,331,20200131
7,十堰,湖北省,4.03,227,20200131
8,襄阳,湖北省,3.21,180,20200131
9,荆门,湖北省,3.09,174,20200131
10,黄石,湖北省,2.87,161,20200131
11,仙桃,湖北省,2.86,161,20200131
12,天门,湖北省,1.99,112,20200131
13,随州,湖北省,1.5,84,20200131
14,潜江,湖北省,0.76,43,20200131
15,长沙,湖南省,0.46,26,20200131
16,株洲,湖南省,0.39,22,20200131
17,郑州,河南省,0.39,22,20200131
18,南阳,河南省,0.36,20,20200131
19,九江,江西省,0.3,17,20200131
20,南京,江苏省,0.28,16,20200131
21,重庆,重庆,0.28,16,20200131
22,南昌,江西省,0.27,15,20200131
23,广州,广东省,0.27,15,20200131
24,信阳,河南省,0.24,13,20200131
25,阜阳,安徽省,0.24,13,20200131
26,深圳,广东省,0.21,12,20200131
27,北京,北京,0.2,11,20200131
28,岳阳,湖南省,0.17,10,20200131
29,上海,上海,0.15,8,20200131
30,芜湖,安徽省,0.12,7,20200131
31,东莞,广东省,0.1,6,20200131
32,成都,四川省,0.09,5,20200131
33,安庆,安徽省,0.09,5,20200131
34,惠州,广东省,0.09,5,20200131
35,长春,吉林省,0.08,4,20200131
36,佛山,广东省,0.08,4,20200131
37,六安,安徽省,0.08,4,20200131
38,天津,天津,0.08,4,20200131
39,潮州,广东省,0.06,3,20200131
40,衡阳,湖南省,0.06,3,20200131
41,神农架林区,湖北省,0.06,3,20200131
42,镇江,江苏省,0.06,3,20200131
43,苏州,江苏省,0.06,3,20200131
44,汕头,广东省,0.06,3,20200131
45,湘潭,湖南省,0.06,3,20200131
46,三门峡,河南省,0.05,3,20200131
47,驻马店,河南省,0.05,3,20200131
48,茂名,广东省,0.05,3,20200131
49,扬州,江苏省,0.05,3,20200131
50,衢州,浙江省,0.05,3,20200131
51,漳州,福建省,0.05,3,20200131
52,宁波,浙江省,0.05,3,20200131
53,杭州,浙江省,0.05,3,20200131
54,咸阳,陕西省,0.05,3,20200131
55,常德,湖南省,0.04,2,20200131
56,益阳,湖南省,0.04,2,20200131
57,达州,四川省,0.04,2,20200131
58,温州,浙江省,0.04,2,20200131
59,临沂,山东省,0.04,2,20200131
60,湛江,广东省,0.04,2,20200131
61,湘西自治州,湖南省,0.04,2,20200131
62,合肥,安徽省,0.04,2,20200131
63,邯郸,河北省,0.04,2,20200131
64,济宁,山东省,0.04,2,20200131
65,金华,浙江省,0.04,2,20200131
66,西安,陕西省,0.04,2,20200131
67,漯河,河南省,0.04,2,20200131
68,石家庄,河北省,0.04,2,20200131
69,商丘,河南省,0.04,2,20200131
70,福州,福建省,0.04,2,20200131
71,南充,四川省,0.02,1,20200131
72,乌兰察布,内蒙古自治区,0.02,1,20200131
73,黔西南州,贵州省,0.02,1,20200131
74,郴州,湖南省,0.02,1,20200131
75,呼和浩特,内蒙古自治区,0.02,1,20200131
76,台州,浙江省,0.02,1,20200131
77,马鞍山,安徽省,0.02,1,20200131
78,平顶山,河南省,0.02,1,20200131
79,张家界,湖南省,0.02,1,20200131
80,舟山,浙江省,0.02,1,20200131
81,唐山,河北省,0.02,1,20200131
82,焦作,河南省,0.02,1,20200131
83,许昌,河南省,0.02,1,20200131
84,宜春,江西省,0.02,1,20200131
85,赣州,江西省,0.02,1,20200131
86,大同,山西省,0.02,1,20200131
87,无锡,江苏省,0.02,1,20200131
88,珠海,广东省,0.02,1,20200131
89,南宁,广西壮族自治区,0.02,1,20200131
90,乐山,四川省,0.02,1,20200131
91,红河,云南省,0.02,1,20200131
92,菏泽,山东省,0.02,1,20200131
93,嘉兴,浙江省,0.02,1,20200131
94,怀化,湖南省,0.02,1,20200131
95,常州,江苏省,0.02,1,20200131
96,洛阳,河南省,0.01,1,20200131
97,新乡,河南省,0.01,1,20200131
98,哈尔滨,黑龙江省,0.01,1,20200131
99,连云港,江苏省,0.01,1,20200131
0,黄冈,湖北省,21.89,1230,20200201
1,孝感,湖北省,17.52,985,20200201
2,咸宁,湖北省,7.07,397,20200201
3,荆州,湖北省,6.65,374,20200201
4,恩施州,湖北省,6.51,366,20200201
5,鄂州,湖北省,6.2,348,20200201
6,宜昌,湖北省,5.78,325,20200201
7,十堰,湖北省,3.77,212,20200201
8,襄阳,湖北省,3.73,210,20200201
9,黄石,湖北省,3.22,181,20200201
10,仙桃,湖北省,3.13,176,20200201
11,荆门,湖北省,2.39,134,20200201
12,天门,湖北省,2.24,126,20200201
13,随州,湖北省,1.81,102,20200201
14,潜江,湖北省,0.83,47,20200201
15,郑州,河南省,0.33,19,20200201
16,信阳,河南省,0.31,17,20200201
17,岳阳,湖南省,0.3,17,20200201
18,株洲,湖南省,0.28,16,20200201
19,长沙,湖南省,0.27,15,20200201
