,城,省份,比例,具体人数,
20,深圳,广东省,0.23,13,20200201
21,芜湖,安徽省,0.22,12,20200201
22,南阳,河南省,0.22,12,20200201
23,南昌,江西省,0.2,11,20200201
24,上海,上海,0.2,11,20200201
25,合肥,安徽省,0.19,11,20200201
26,重庆,重庆,0.17,10,20200201
27,北京,北京,0.17,10,20200201
28,九江,江西省,0.17,10,20200201
29,广州,广东省,0.15,8,20200201
30,阜阳,安徽省,0.15,8,20200201
31,南京,江苏省,0.11,6,20200201
32,神农架林区,湖北省,0.11,6,20200201
33,衡阳,湖南省,0.09,5,20200201
34,镇江,江苏省,0.09,5,20200201
35,西安,陕西省,0.09,5,20200201
36,菏泽,山东省,0.08,4,20200201
37,石家庄,河北省,0.08,4,20200201
38,成都,四川省,0.06,3,20200201
39,常德,湖南省,0.06,3,20200201
40,安庆,安徽省,0.06,3,20200201
41,洛阳,河南省,0.05,3,20200201
42,东莞,广东省,0.05,3,20200201
43,永州,湖南省,0.05,3,20200201
44,临沂,山东省,0.05,3,20200201
45,邵阳,湖南省,0.05,3,20200201
46,无锡,江苏省,0.05,3,20200201
47,惠州,广东省,0.05,3,20200201
48,池州,安徽省,0.05,3,20200201
49,邯郸,河北省,0.05,3,20200201
50,潍坊,山东省,0.05,3,20200201
51,宁波,浙江省,0.05,3,20200201
52,驻马店,河南省,0.04,2,20200201
53,长春,吉林省,0.04,2,20200201
54,台州,浙江省,0.04,2,20200201
55,盐城,江苏省,0.04,2,20200201
56,扬州,江苏省,0.04,2,20200201
57,许昌,河南省,0.04,2,20200201
58,苏州,江苏省,0.04,2,20200201
59,中山,广东省,0.04,2,20200201
60,张家口,河北省,0.04,2,20200201
61,商丘,河南省,0.04,2,20200201
62,郴州,湖南省,0.02,1,20200201
63,新乡,河南省,0.02,1,20200201
64,益阳,湖南省,0.02,1,20200201
65,呼和浩特,内蒙古自治区,0.02,1,20200201
66,安康,陕西省,0.02,1,20200201
67,济南,山东省,0.02,1,20200201
68,鹤岗,黑龙江省,0.02,1,20200201
69,钦州,广西壮族自治区,0.02,1,20200201
70,内江,四川省,0.02,1,20200201
71,朔州,山西省,0.02,1,20200201
72,兰州,甘肃省,0.02,1,20200201
73,韶关,广东省,0.02,1,20200201
74,赤峰,内蒙古自治区,0.02,1,20200201
75,茂名,广东省,0.02,1,20200201
76,汕头,广东省,0.02,1,20200201
77,宿迁,江苏省,0.02,1,20200201
78,周口,河南省,0.02,1,20200201
79,淄博,山东省,0.02,1,20200201
80,六安,安徽省,0.02,1,20200201
81,天津,天津,0.02,1,20200201
82,海口,海南省,0.02,1,20200201
83,曲靖,云南省,0.02,1,20200201
84,福州,福建省,0.02,1,20200201
85,亳州,安徽省,0.02,1,20200201
86,杭州,浙江省,0.02,1,20200201
87,娄底,湖南省,0.02,1,20200201
88,莆田,福建省,0.02,1,20200201
89,潮州,广东省,0.01,1,20200201
90,文山,云南省,0.01,1,20200201
91,巴彦淖尔,内蒙古自治区,0.01,1,20200201
92,三门峡,河南省,0.01,1,20200201
93,枣庄,山东省,0.01,1,20200201
94,连云港,江苏省,0.01,1,20200201
95,琼海,海南省,0.01,1,20200201
96,宜宾,四川省,0.01,1,20200201
97,达州,四川省,0.01,1,20200201
98,大理,云南省,0.01,1,20200201
99,温州,浙江省,0.01,1,20200201
0,黄冈,湖北省,21.04,2267,20200202
1,孝感,湖北省,15.09,1626,20200202
2,荆州,湖北省,8.73,941,20200202
3,恩施州,湖北省,7.1,765,20200202
4,咸宁,湖北省,6.7,722,20200202
5,宜昌,湖北省,5.7,614,20200202
6,十堰,湖北省,5.15,555,20200202
7,鄂州,湖北省,4.99,538,20200202
8,襄阳,湖北省,4.14,446,20200202
9,荆门,湖北省,3.47,374,20200202
10,黄石,湖北省,3.03,326,20200202
11,仙桃,湖北省,2.79,301,20200202
12,天门,湖北省,2.75,296,20200202
13,随州,湖北省,2.2,237,20200202
14,潜江,湖北省,1.2,129,20200202
15,南阳,河南省,0.54,58,20200202
16,郑州,河南省,0.24,26,20200202
17,重庆,重庆,0.23,25,20200202
18,株洲,湖南省,0.21,23,20200202
19,岳阳,湖南省,0.18,19,20200202
20,深圳,广东省,0.16,17,20200202
21,信阳,河南省,0.16,17,20200202
22,九江,江西省,0.16,17,20200202
23,长沙,湖南省,0.15,16,20200202
24,阜阳,安徽省,0.12,13,20200202
25,南昌,江西省,0.11,12,20200202
26,上海,上海,0.11,12,20200202
27,北京,北京,0.11,12,20200202
28,南京,江苏省,0.1,11,20200202
29,广州,广东省,0.1,11,20200202
30,东莞,广东省,0.09,10,20200202
31,合肥,安徽省,0.08,9,20200202
32,神农架林区,湖北省,0.07,8,20200202
33,西安,陕西省,0.07,8,20200202
34,驻马店,河南省,0.06,6,20200202
35,六安,安徽省,0.06,6,20200202
36,苏州,江苏省,0.05,5,20200202
37,无锡,江苏省,0.05,5,20200202
38,杭州,浙江省,0.05,5,20200202
39,许昌,河南省,0.04,4,20200202
40,延安,陕西省,0.04,4,20200202
41,周口,河南省,0.04,4,20200202
42,临汾,山西省,0.04,4,20200202
43,厦门,福建省,0.04,4,20200202
44,衡阳,湖南省,0.04,4,20200202
45,佛山,广东省,0.04,4,20200202
46,安庆,安徽省,0.04,4,20200202
47,常德,湖南省,0.03,3,20200202
48,枣庄,山东省,0.03,3,20200202
49,安康,陕西省,0.03,3,20200202
50,马鞍山,安徽省,0.03,3,20200202
51,盐城,江苏省,0.03,3,20200202
52,德州,山东省,0.03,3,20200202
53,天津,天津,0.03,3,20200202
54,毕节,贵州省,0.02,2,20200202
55,上饶,江西省,0.02,2,20200202
56,新余,江西省,0.02,2,20200202
57,温州,浙江省,0.02,2,20200202
58,大连,辽宁省,0.02,2,20200202
59,廊坊,河北省,0.02,2,20200202
60,保定,河北省,0.02,2,20200202
61,惠州,广东省,0.02,2,20200202
62,济宁,山东省,0.02,2,20200202
63,商丘,河南省,0.02,2,20200202
64,福州,福建省,0.02,2,20200202
65,洛阳,河南省,0.02,2,20200202
66,宿州,安徽省,0.02,2,20200202
67,芜湖,安徽省,0.02,2,20200202
68,永州,湖南省,0.02,2,20200202
69,临沂,山东省,0.02,2,20200202
70,兰州,甘肃省,0.02,2,20200202
71,吉安,江西省,0.02,2,20200202
72,昆明,云南省,0.02,2,20200202
73,镇江,江苏省,0.02,2,20200202
74,湘潭,湖南省,0.02,2,20200202
75,太原,山西省,0.02,2,20200202
76,湘西自治州,湖南省,0.02,2,20200202
77,潍坊,山东省,0.02,2,20200202
78,沈阳,辽宁省,0.02,2,20200202
79,安阳,河南省,0.02,2,20200202
80,娄底,湖南省,0.02,2,20200202
81,成都,四川省,0.01,1,20200202
82,景德镇,江西省,0.01,1,20200202
83,郴州,湖南省,0.01,1,20200202
84,琼海,海南省,0.01,1,20200202
85,济南,山东省,0.01,1,20200202
86,达州,四川省,0.01,1,20200202
87,台州,浙江省,0.01,1,20200202
88,平顶山,河南省,0.01,1,20200202
89,桂林,广西壮族自治区,0.01,1,20200202
90,赤峰,内蒙古自治区,0.01,1,20200202
91,防城港,广西壮族自治区,0.01,1,20200202
92,绵阳,四川省,0.01,1,20200202
93,吕梁,山西省,0.01,1,20200202
94,忻州,山西省,0.01,1,20200202
95,吉林,吉林省,0.01,1,20200202
96,南通,江苏省,0.01,1,20200202
97,珠海,广东省,0.01,1,20200202
98,南宁,广西壮族自治区,0.01,1,20200202
99,中山,广东省,0.01,1,20200202
0,黄冈,湖北省,23.42,1152,20200203
1,孝感,湖北省,20.21,994,20200203
2,鄂州,湖北省,7.84,386,20200203
3,咸宁,湖北省,7.74,381,20200203
4,荆州,湖北省,5.13,252,20200203
5,恩施州,湖北省,4.82,237,20200203
6,宜昌,湖北省,4.81,237,20200203
7,黄石,湖北省,3.17,156,20200203
8,仙桃,湖北省,3.06,150,20200203
9,襄阳,湖北省,2.65,130,20200203
10,十堰,湖北省,2.21,109,20200203
11,荆门,湖北省,1.67,82,20200203
12,随州,湖北省,1.58,78,20200203
13,天门,湖北省,1.4,69,20200203
14,潜江,湖北省,0.87,43,20200203
15,信阳,河南省,0.36,18,20200203
16,株洲,湖南省,0.35,17,20200203
17,深圳,广东省,0.35,17,20200203
18,郑州,河南省,0.35,17,20200203
19,岳阳,湖南省,0.35,17,20200203
20,南昌,江西省,0.27,13,20200203
21,南阳,河南省,0.27,13,20200203
22,安庆,安徽省,0.24,12,20200203
23,九江,江西省,0.24,12,20200203
24,重庆,重庆,0.21,10,20200203
25,长沙,湖南省,0.19,9,20200203
26,阜阳,安徽省,0.19,9,20200203
27,东莞,广东省,0.18,9,20200203
28,南京,江苏省,0.15,7,20200203
29,广州,广东省,0.15,7,20200203
30,苏州,江苏省,0.13,6,20200203
31,北京,北京,0.13,6,20200203
32,徐州,江苏省,0.13,6,20200203
33,芜湖,安徽省,0.12,6,20200203
34,台州,浙江省,0.1,5,20200203
35,合肥,安徽省,0.1,5,20200203
36,西安,陕西省,0.1,5,20200203
37,成都,四川省,0.09,4,20200203
38,池州,安徽省,0.09,4,20200203
39,德阳,四川省,0.09,4,20200203
40,杭州,浙江省,0.09,4,20200203
41,驻马店,河南省,0.07,3,20200203
42,衡阳,湖南省,0.07,3,20200203
43,盐城,江苏省,0.07,3,20200203
44,茂名,广东省,0.07,3,20200203
45,许昌,河南省,0.07,3,20200203
46,抚州,江西省,0.07,3,20200203
47,上海,上海,0.07,3,20200203
48,宁波,浙江省,0.07,3,20200203
49,咸阳,陕西省,0.07,3,20200203
50,常德,湖南省,0.06,3,20200203
51,榆林,陕西省,0.06,3,20200203
52,济南,山东省,0.06,3,20200203
53,邵阳,湖南省,0.06,3,20200203
54,保定,河北省,0.06,3,20200203
55,汕头,广东省,0.06,3,20200203
56,南宁,广西壮族自治区,0.06,3,20200203
57,运城,山西省,0.06,3,20200203
58,六安,安徽省,0.06,3,20200203
59,天水,甘肃省,0.06,3,20200203
60,石家庄,河北省,0.06,3,20200203
61,福州,福建省,0.06,3,20200203
62,哈尔滨,黑龙江省,0.04,2,20200203
63,上饶,江西省,0.04,2,20200203
64,达州,四川省,0.04,2,20200203
65,张家界,湖南省,0.04,2,20200203
66,桂林,广西壮族自治区,0.04,2,20200203
67,昆明,云南省,0.04,2,20200203
68,宜春,江西省,0.04,2,20200203
69,镇江,江苏省,0.04,2,20200203
70,珠海,广东省,0.04,2,20200203
71,铜陵,安徽省,0.04,2,20200203
72,佳木斯,黑龙江省,0.04,2,20200203
73,邯郸,河北省,0.04,2,20200203
74,淄博,山东省,0.04,2,20200203
75,梧州,广西壮族自治区,0.04,2,20200203
76,新乡,河南省,0.03,1,20200203
77,益阳,湖南省,0.03,1,20200203
78,安康,陕西省,0.03,1,20200203
79,厦门,福建省,0.03,1,20200203
80,平顶山,河南省,0.03,1,20200203
81,晋中,山西省,0.03,1,20200203
82,庆阳,甘肃省,0.03,1,20200203
83,舟山,浙江省,0.03,1,20200203
84,神农架林区,湖北省,0.03,1,20200203
85,绍兴,浙江省,0.03,1,20200203
86,吕梁,山西省,0.03,1,20200203
87,濮阳,河南省,0.03,1,20200203
88,宣城,安徽省,0.03,1,20200203
89,吉林,吉林省,0.03,1,20200203
90,无锡,江苏省,0.03,1,20200203
91,宿迁,江苏省,0.03,1,20200203
92,湛江,广东省,0.03,1,20200203
93,湘潭,湖南省,0.03,1,20200203
94,湘西自治州,湖南省,0.03,1,20200203
95,漳州,福建省,0.03,1,20200203
96,楚雄,云南省,0.03,1,20200203
97,中山,广东省,0.03,1,20200203
98,周口,河南省,0.03,1,20200203
99,定西,甘肃省,0.03,1,20200203
0,黄冈,湖北省,23.86,1285,20200204
1,孝感,湖北省,19.55,1053,20200204
2,咸宁,湖北省,7.69,414,20200204
3,鄂州,湖北省,6.99,377,20200204
4,荆州,湖北省,5.59,301,20200204
5,恩施州,湖北省,5.52,297,20200204
6,宜昌,湖北省,4.73,255,20200204
7,襄阳,湖北省,3.1,167,20200204
8,仙桃,湖北省,2.91,157,20200204
9,黄石,湖北省,2.9,156,20200204
10,十堰,湖北省,2.51,135,20200204
11,荆门,湖北省,2.27,122,20200204
12,随州,湖北省,1.55,83,20200204
13,天门,湖北省,1.19,64,20200204
14,潜江,湖北省,0.62,33,20200204
15,信阳,河南省,0.48,26,20200204
16,郑州,河南省,0.4,22,20200204
17,株洲,湖南省,0.38,20,20200204
18,岳阳,湖南省,0.37,20,20200204
19,南昌,江西省,0.31,17,20200204
20,深圳,广东省,0.31,17,20200204
21,九江,江西省,0.26,14,20200204
22,重庆,重庆,0.23,12,20200204
23,南阳,河南省,0.19,10,20200204
24,芜湖,安徽省,0.18,10,20200204
25,广州,广东省,0.16,9,20200204
26,神农架林区,湖北省,0.15,8,20200204
27,苏州,江苏省,0.15,8,20200204
28,北京,北京,0.15,8,20200204
29,长沙,湖南省,0.15,8,20200204
30,南京,江苏省,0.13,7,20200204
31,东莞,广东省,0.13,7,20200204
32,合肥,安徽省,0.13,7,20200204
33,上海,上海,0.12,6,20200204
34,新乡,河南省,0.09,5,20200204
35,菏泽,山东省,0.09,5,20200204
36,三门峡,河南省,0.08,4,20200204
37,驻马店,河南省,0.08,4,20200204
38,衡阳,湖南省,0.08,4,20200204
39,赤峰,内蒙古自治区,0.08,4,20200204
40,六安,安徽省,0.08,4,20200204
41,天津,天津,0.08,4,20200204
42,常德,湖南省,0.06,3,20200204
43,三明,福建省,0.06,3,20200204
44,廊坊,河北省,0.06,3,20200204
45,无锡,江苏省,0.06,3,20200204
46,潍坊,山东省,0.06,3,20200204
47,杭州,浙江省,0.06,3,20200204
48,长春,吉林省,0.05,3,20200204
49,临沂,山东省,0.05,3,20200204
50,惠州,广东省,0.05,3,20200204
51,池州,安徽省,0.05,3,20200204
52,西安,陕西省,0.05,3,20200204
53,商丘,河南省,0.05,3,20200204
54,成都,四川省,0.04,2,20200204
55,台州,浙江省,0.04,2,20200204
56,佛山,广东省,0.04,2,20200204
57,茂名,广东省,0.04,2,20200204
58,昆明,云南省,0.04,2,20200204
59,安庆,安徽省,0.04,2,20200204
60,南宁,广西壮族自治区,0.04,2,20200204
61,湘西自治州,湖南省,0.04,2,20200204
62,邯郸,河北省,0.04,2,20200204
63,金华,浙江省,0.04,2,20200204
64,滁州,安徽省,0.04,2,20200204
65,贵阳,贵州省,0.04,2,20200204
66,石家庄,河北省,0.04,2,20200204
67,阜阳,安徽省,0.04,2,20200204
68,洛阳,河南省,0.02,1,20200204
69,南充,四川省,0.02,1,20200204
70,益阳,湖南省,0.02,1,20200204
71,济南,山东省,0.02,1,20200204
72,温州,浙江省,0.02,1,20200204
73,广安,四川省,0.02,1,20200204
74,内江,四川省,0.02,1,20200204
75,兰州,甘肃省,0.02,1,20200204
76,韶关,广东省,0.02,1,20200204
77,泸州,四川省,0.02,1,20200204
78,唐山,河北省,0.02,1,20200204
79,绵阳,四川省,0.02,1,20200204
80,许昌,河南省,0.02,1,20200204
81,遵义,贵州省,0.02,1,20200204
82,邵阳,湖南省,0.02,1,20200204
83,珠海,广东省,0.02,1,20200204
84,太原,山西省,0.02,1,20200204
85,昭通,云南省,0.02,1,20200204
86,聊城,山东省,0.02,1,20200204
87,淄博,山东省,0.02,1,20200204
88,滨州,山东省,0.02,1,20200204
89,张家口,河北省,0.02,1,20200204
90,宁波,浙江省,0.02,1,20200204
91,乌鲁木齐,新疆维吾尔自治区,0.02,1,20200204
92,漯河,河南省,0.02,1,20200204
93,沈阳,辽宁省,0.02,1,20200204
94,呼伦贝尔,内蒙古自治区,0.02,1,20200204
95,青岛,山东省,0.02,1,20200204
96,德阳,四川省,0.02,1,20200204
97,怀化,湖南省,0.02,1,20200204
98,巴中,四川省,0.02,1,20200204
99,福州,福建省,0.02,1,20200204
0,黄冈,湖北省,23.81,1561,20200205
1,孝感,湖北省,18.42,1208,20200205
2,咸宁,湖北省,7.1,466,20200205
3,荆州,湖北省,6.68,438,20200205
4,恩施州,湖北省,6.27,411,20200205
5,鄂州,湖北省,6.21,407,20200205
6,宜昌,湖北省,5.07,332,20200205
7,襄阳,湖北省,3.48,228,20200205
8,十堰,湖北省,3.32,218,20200205
9,仙桃,湖北省,3.29,216,20200205
10,黄石,湖北省,2.89,190,20200205
11,荆门,湖北省,2.49,163,20200205
12,天门,湖北省,1.83,120,20200205
13,随州,湖北省,1.54,101,20200205
14,潜江,湖北省,0.82,54,20200205
15,深圳,广东省,0.32,21,20200205
16,信阳,河南省,0.29,19,20200205
17,株洲,湖南省,0.25,16,20200205
18,南阳,河南省,0.25,16,20200205
19,北京,北京,0.24,16,20200205
20,长沙,湖南省,0.24,16,20200205
21,郑州,河南省,0.22,14,20200205
22,九江,江西省,0.22,14,20200205
23,南昌,江西省,0.21,14,20200205
24,重庆,重庆,0.2,13,20200205
25,岳阳,湖南省,0.18,12,20200205
26,阜阳,安徽省,0.16,10,20200205
27,广州,广东省,0.12,8,20200205
28,芜湖,安徽省,0.11,7,20200205
29,上海,上海,0.11,7,20200205
30,合肥,安徽省,0.09,6,20200205
31,茂名,广东省,0.08,5,20200205
32,神农架林区,湖北省,0.08,5,20200205
33,三门峡,河南省,0.07,5,20200205
34,安庆,安徽省,0.07,5,20200205
35,潍坊,山东省,0.07,5,20200205
36,南京,江苏省,0.05,3,20200205
37,临沂,山东省,0.05,3,20200205
38,佛山,广东省,0.05,3,20200205
39,苏州,江苏省,0.05,3,20200205
40,新乡,河南省,0.04,3,20200205
41,长春,吉林省,0.04,3,20200205
42,温州,浙江省,0.04,3,20200205
43,盐城,江苏省,0.04,3,20200205
44,赣州,江西省,0.04,3,20200205
45,邵阳,湖南省,0.04,3,20200205
46,南宁,广西壮族自治区,0.04,3,20200205
47,宁波,浙江省,0.04,3,20200205
48,铜仁,贵州省,0.04,3,20200205
49,成都,四川省,0.03,2,20200205
50,郴州,湖南省,0.03,2,20200205
51,常德,湖南省,0.03,2,20200205
52,安康,陕西省,0.03,2,20200205
53,厦门,福建省,0.03,2,20200205
54,商洛,陕西省,0.03,2,20200205
55,庆阳,甘肃省,0.03,2,20200205
56,唐山,河北省,0.03,2,20200205
57,许昌,河南省,0.03,2,20200205
58,无锡,江苏省,0.03,2,20200205
59,湘潭,湖南省,0.03,2,20200205
60,中山,广东省,0.03,2,20200205
61,六安,安徽省,0.03,2,20200205
62,泉州,福建省,0.03,2,20200205
63,金华,浙江省,0.03,2,20200205
64,西安,陕西省,0.03,2,20200205
65,天津,天津,0.03,2,20200205
66,石家庄,河北省,0.03,2,20200205
67,曲靖,云南省,0.03,2,20200205
68,杭州,浙江省,0.03,2,20200205
69,哈尔滨,黑龙江省,0.02,1,20200205
70,驻马店,河南省,0.02,1,20200205
71,衡阳,湖南省,0.02,1,20200205
72,东莞,广东省,0.02,1,20200205
73,六盘水,贵州省,0.02,1,20200205
74,平顶山,河南省,0.02,1,20200205
75,兰州,甘肃省,0.02,1,20200205
76,晋中,山西省,0.02,1,20200205
77,湖州,浙江省,0.02,1,20200205
78,绍兴,浙江省,0.02,1,20200205
79,吕梁,山西省,0.02,1,20200205
80,德州,山东省,0.02,1,20200205
81,南通,江苏省,0.02,1,20200205
82,锦州,辽宁省,0.02,1,20200205
83,珠海,广东省,0.02,1,20200205
84,湛江,广东省,0.02,1,20200205
85,楚雄,云南省,0.02,1,20200205
86,铜陵,安徽省,0.02,1,20200205
87,延安,陕西省,0.02,1,20200205
88,烟台,山东省,0.02,1,20200205
89,白银,甘肃省,0.02,1,20200205
90,周口,河南省,0.02,1,20200205
91,鄂尔多斯,内蒙古自治区,0.02,1,20200205
92,天水,甘肃省,0.02,1,20200205
93,黔东南州,贵州省,0.02,1,20200205
94,沈阳,辽宁省,0.02,1,20200205
95,晋城,山西省,0.02,1,20200205
96,海口,海南省,0.02,1,20200205
97,怀化,湖南省,0.02,1,20200205
98,淮南,安徽省,0.02,1,20200205
99,福州,福建省,0.02,1,20200205
0,黄冈,湖北省,23.45,1538,20200206
1,孝感,湖北省,17.75,1164,20200206
2,咸宁,湖北省,8.04,527,20200206
3,恩施州,湖北省,6.32,414,20200206
4,荆州,湖北省,6.19,406,20200206
5,鄂州,湖北省,5.7,374,20200206
6,宜昌,湖北省,5.52,362,20200206
7,十堰,湖北省,3.57,234,20200206
8,襄阳,湖北省,3.56,233,20200206
9,黄石,湖北省,3.4,223,20200206
10,仙桃,湖北省,2.99,196,20200206
11,荆门,湖北省,2.49,163,20200206
12,天门,湖北省,1.93,127,20200206
13,随州,湖北省,1.61,106,20200206
14,潜江,湖北省,0.95,62,20200206
15,南阳,河南省,0.38,25,20200206
16,株洲,湖南省,0.26,17,20200206
17,重庆,重庆,0.26,17,20200206
18,郑州,河南省,0.25,16,20200206
19,上海,上海,0.22,14,20200206
20,长沙,湖南省,0.22,14,20200206
21,岳阳,湖南省,0.22,14,20200206
22,九江,江西省,0.22,14,20200206
23,潍坊,山东省,0.17,11,20200206
24,信阳,河南省,0.16,10,20200206
25,深圳,广东省,0.16,10,20200206
26,南京,江苏省,0.15,10,20200206
27,南昌,江西省,0.15,10,20200206
28,广州,广东省,0.15,10,20200206
29,芜湖,安徽省,0.14,9,20200206
30,北京,北京,0.14,9,20200206
31,漯河,河南省,0.11,7,20200206
32,东莞,广东省,0.08,5,20200206
33,长春,吉林省,0.07,5,20200206
34,温州,浙江省,0.07,5,20200206
35,神农架林区,湖北省,0.07,5,20200206
36,南宁,广西壮族自治区,0.07,5,20200206
37,西安,陕西省,0.07,5,20200206
38,阜阳,安徽省,0.07,5,20200206
39,杭州,浙江省,0.07,5,20200206
40,成都,四川省,0.05,3,20200206
41,衡阳,湖南省,0.05,3,20200206
42,大连,辽宁省,0.05,3,20200206
43,安庆,安徽省,0.05,3,20200206
44,合肥,安徽省,0.05,3,20200206
45,徐州,江苏省,0.05,3,20200206
46,新乡,河南省,0.04,3,20200206
47,临沂,山东省,0.04,3,20200206
48,苏州,江苏省,0.04,3,20200206
49,湘西自治州,湖南省,0.04,3,20200206
50,铜陵,安徽省,0.04,3,20200206
51,邯郸,河北省,0.04,3,20200206
52,天津,天津,0.04,3,20200206
53,三门峡,河南省,0.03,2,20200206
54,厦门,福建省,0.03,2,20200206
55,济南,山东省,0.03,2,20200206
56,马鞍山,安徽省,0.03,2,20200206
57,盐城,江苏省,0.03,2,20200206
58,绍兴,浙江省,0.03,2,20200206
59,廊坊,河北省,0.03,2,20200206
60,保定,河北省,0.03,2,20200206
61,湘潭,湖南省,0.03,2,20200206
62,六安,安徽省,0.03,2,20200206
63,嘉兴,浙江省,0.03,2,20200206
64,福州,福建省,0.03,2,20200206
65,黔西南州,贵州省,0.02,1,20200206
66,郴州,湖南省,0.02,1,20200206
67,常德,湖南省,0.02,1,20200206
68,台州,浙江省,0.02,1,20200206
69,茂名,广东省,0.02,1,20200206
70,德州,山东省,0.02,1,20200206
71,衢州,浙江省,0.02,1,20200206
72,镇江,江苏省,0.02,1,20200206
73,邵阳,湖南省,0.02,1,20200206
74,锡林郭勒盟,内蒙古自治区,0.02,1,20200206
75,池州,安徽省,0.02,1,20200206
76,周口,河南省,0.02,1,20200206
77,开封,河南省,0.02,1,20200206
78,蚌埠,安徽省,0.02,1,20200206
79,石家庄,河北省,0.02,1,20200206
80,铜仁,贵州省,0.02,1,20200206
81,商丘,河南省,0.02,1,20200206
82,怀化,湖南省,0.02,1,20200206
83,安阳,河南省,0.02,1,20200206
84,临汾,山西省,0.02,1,20200206
85,黑河,黑龙江省,0.02,1,20200206
86,伊犁,新疆维吾尔自治区,0.02,1,20200206
87,莆田,福建省,0.02,1,20200206
88,咸阳,陕西省,0.02,1,20200206
89,巴彦淖尔,内蒙古自治区,0.01,1,20200206
90,石嘴山,宁夏回族自治区,0.01,1,20200206
91,哈尔滨,黑龙江省,0.01,1,20200206
92,驻马店,河南省,0.01,1,20200206
93,毕节,贵州省,0.01,1,20200206
94,连云港,江苏省,0.01,1,20200206
95,榆林,陕西省,0.01,1,20200206
96,安康,陕西省,0.01,1,20200206
97,达州,四川省,0.01,1,20200206
98,阿克苏,新疆维吾尔自治区,0.01,1,20200206
99,喀什,新疆维吾尔自治区,0.01,1,20200206